Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Test cases,OOSP-95,10126,Verify Editing an Existing Information Page,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 6:03 AM,09/Nov/25 3:51 PM,
Test cases,OOSP-94,10125,Verify Adding a New Information Page,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 6:03 AM,09/Nov/25 3:51 PM,
Test cases,OOSP-93,10124,Verify Deleting an Identifier,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 6:01 AM,09/Nov/25 3:51 PM,
Test cases,OOSP-92,10123,Verify Editing an Existing Identifier,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:57 AM,09/Nov/25 3:51 PM,
Test cases,OOSP-91,10122,Verify Adding a New Identifier,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:57 AM,09/Nov/25 3:51 PM,
Test cases,OOSP-90,10121,Verify Validation for Required Fields,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Highest,Pass,Done,06/Nov/25 5:54 AM,09/Nov/25 3:51 PM,
Test cases,OOSP-89,10120,Verify Option Type Dropdown Functionality,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:53 AM,09/Nov/25 3:51 PM,
Test cases,OOSP-88,10119,Verify Deleting an Option,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:52 AM,09/Nov/25 3:51 PM,
Test cases,OOSP-87,10118,Verify Editing an Existing Option,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 5:51 AM,09/Nov/25 3:51 PM,
Test cases,OOSP-86,10117,Verify Adding a New Option,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:51 AM,09/Nov/25 3:51 PM,
Test cases,OOSP-85,10116,Verify Navigation to Options Page,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:48 AM,09/Nov/25 3:51 PM,
Test cases,OOSP-84,10115,Verify Sort Order Functionality,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 5:44 AM,09/Nov/25 3:51 PM,
Test cases,OOSP-83,10114,Verify Deleting an Existing Attribute,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Highest,Pass,Done,06/Nov/25 5:44 AM,09/Nov/25 3:51 PM,
Test cases,OOSP-82,10113,Verify Editing an Existing Attribute,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 5:43 AM,09/Nov/25 3:51 PM,
Test cases,OOSP-81,10112,Verify Adding an Attribute Without an Existing Attribute Group,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:43 AM,09/Nov/25 3:51 PM,
Test cases,OOSP-80,10111,Verify Adding a New Attribute,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:42 AM,09/Nov/25 3:51 PM,
Test cases,OOSP-79,10110,Verify Navigation to Attributes Page,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:42 AM,09/Nov/25 3:51 PM,
Test cases,OOSP-78,10109,Verify Sort Order Functionality,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:38 AM,09/Nov/25 3:50 PM,
